Recalling Firm City,Count
Albuquerque,1
Alsip,1
Anacortes,1
Ann Arbor,1
Apopka,1
Apple Valley,1
Arlington,2
Arvin,1
Athens,1
Atlanta,1
Auburndale,1
Austin,1
Avenel,1
Bakersfield,1
Baltimore,1
Bayamon,1
Bayonne,1
Beaverton,2
Belhaven,1
Beloit,1
Bend,1
Bentonville,2
Berkeley,2
Berkeley Springs,1
Blacklick,1
Bloomingdale,1
Boise,3
Bonduel,1
Boulder,1
Brea,1
Bridgeport,1
Bridgewater,2
Bronx,2
Brooklyn,12
Broomfield,1
Caldwell,1
Cambridge,1
Camino,1
Camuy,1
Canton,2
Carlsbad,1
Carlstadt,1
Carson City,1
Cedar Creek,1
Charlestown,1
Charlotte,2
Chattanooga,1
Chehalis,1
Chicago,4
Cincinnati,1
Claysburg,1
Cleveland,2
Clinton,1
Colorado Springs,1
Columbia,1
Columbus,1
Commerce,3
Cookeville,1
Coral Gables,1
Corsica,1
Costa Mesa,1
Coventry,1
Cranford,1
Cullen,1
Dallas,3
Danbury,1
Danvers,1
Danville,1
Dearborn,1
Delphos,1
Delray Beach,2
Denver,3
Detroit,1
Doral,3
Dorchester,1
Downey,1
Dublin,1
Dunmore,1
East Rutherford,1
East Windsor,1
Easton,1
Eden Prairie,1
Edgewood,1
Edinburg,1
Edison,2
El Paso,2
Elgin,1
Elizabeth,1
Ellison Bay,1
Encinitas,1
Encino,1
Englewood Cliffs,1
Eugene,2
Fairfax,1
Fall River,1
Fond Du Lac,1
Fontana,1
Forest Grove,1
Fort Lauderdale,1
Fort Myers,2
Fort Walton Beach,1
Fort Wayne,1
Fort Worth,1
Fostoria,1
Fresno,1
Fullerton,2
Garden City,1
Garden Grove,1
Gardena,1
Germantown,1
Glendale,1
Grand Prairie,1
Grand Rapids,1
Granton,1
Green Bay,2
Gresham,1
Hallandale Beach,1
Hamtramck,1
Hanahan,1
Hanover,1
Hattiesburg,1
Haverhill,1
Hayes,1
Hayward,2
Henderson,1
Hendersonville,1
Hialeah,1
High Ridge,1
Hilo,2
Hoboken,1
Hollister,1
Honolulu,2
Houston,4
Hunt Valley,1
Indio,1
Irvington,2
Irwindale,1
Islandia,1
Issaquah,1
Jamaica,1
Jamestown,1
Jessup,4
Kansas City,2
Kenilworth,1
Kent,3
La Fargeville,1
Lake Oswego,1
Lake Worth,1
Lake Worth Beach,1
Lakeland,1
Lakewood,1
Lincoln,1
Little Canada,1
Littlefield,1
Livermore,1
Los Angeles,7
Los Banos,1
Louisville,3
Ludington,1
Lynnfield,1
Madison,2
Maquoketa,1
Marshalltown,1
Maspeth,2
Massillon,1
Medley,1
Melbourne,1
Melrose Park,1
Melville,1
Miami,2
Middletown,1
Milwaukie,1
Minneapolis,3
Mobile,1
Modesto,1
Monrovia,1
Montebello,1
Monterey,1
Montvale,1
Moosic,1
Mount Holly,1
Mount Pleasant,1
Murray,1
Muscatine,1
N Brunswick,1
Nashville,1
New Albany,1
New Britain,1
New Castle,1
New Century,1
New Haven,1
New Holland,2
New York,3
Newburgh,1
Newport Beach,1
Noblesville,1
Norman Park,1
North Bergen,1
North Muskegon,1
Northvale,1
Oak Brook,2
Oakbrook Terrace,1
Oakland,1
Omaha,2
Ontario,2
Orinda,1
Orrville,1
Overland Park,1
Owings Mills,1
Park City,1
Passaic,2
Perryville,1
Petaluma,2
Philadelphia,3
Phoenix,2
Pine Brook,1
Plant City,1
Plymouth,1
Pomona,1
Portland,6
Prosper,1
Providence,1
Purchase,1
Racine,1
Raleigh,1
Redwood City,1
Reedley,1
Richland,1
Richmond,1
Richvale,1
Rio Rico,1
Riverside,2
Rochester,2
Rosemead,1
Rutherford,1
Rutherfordton,1
Sacramento,3
Saint Louis,1
Saint Marys,1
Saint Paul Park,1
Salinas,1
Salt Lake City,1
San Antonio,2
San Diego,1
San Fernando,1
San Francisco,1
San Juan,2
San Leandro,1
San Luis,1
San Sebastian,1
Sandy,1
Santa Ana,2
Santa Fe Springs,2
Scottsdale,1
Seatac,1
Seattle,1
Shawnee,1
Shelby,1
Sioux City,1
Skokie,1
Soledad,1
South San Francisco,1
Springdale,1
Staten Island,1
Stockton,1
Stokesdale,1
Suffolk,1
Sugar Land,1
Sunbury,1
Syracuse,1
Tamarac,1
Tampa,2
Thomaston,1
Tillamook,1
Tolleson,1
Topeka,1
Torrance,1
Tucker,1
Utica,1
Valhalla,1
Ventura,1
Vernon,2
Victoria,1
Vina,1
Vineland,1
Ward Hill,1
Warren,3
Warrensville Heights,1
Washington Court House,1
Watsonville,2
Wauconda,1
West Chicago,1
West Des Moines,1
Westby,1
Westerville,1
Westlake Village,1
Westport,1
Whately,1
Wheeling,1
White Plains,1
Wichita,1
Wilkinsburg,1
Willard,1
Williston,1
Winchester,1
Windermere,1
Woodbine,1
Woodridge,1
Woodway,1
York,1
Zanesville,1
Zeeland,1
